Temp [degC],speed [mm/s],sprayFL [uL/min],plasmaH [cm],gasFL [L/min],plasmaDC [%],PCE
140,200,4000,0.8,20,75,12.43399
140,200,5000,1.2,20,50,12.61333
140,200,5000,1.2,20,50,12.51422
140,200,5000,1.2,20,50,7.591761
140,200,5000,1.2,20,50,7.855717
145,100,4500,1.2,20,25,11.23024
145,100,4500,1.2,20,25,6.819044
145,100,4500,1.2,20,25,10.50908
145,100,4500,1.2,20,25,5.767102
145,100,4500,1.2,25,25,5.956601
145,100,4500,1.2,25,25,10.65933
145,100,4500,1.2,25,25,11.24846
145,100,4500,1.2,25,25,7.091102
145,175,3500,1,20,50,11.63876
145,175,3500,1,20,50,12.55665
145,175,3500,1,20,50,14.93009
145,175,3500,1,20,50,13.94647
145,175,4000,1.2,20,25,15.71225
145,175,4000,1.2,20,25,13.32458
145,175,4000,1.2,20,25,10.76039
145,175,4000,1.2,20,25,16.07608
145,200,5000,1.2,25,25,7.983756
145,200,5000,1.2,25,25,8.117913
145,200,5000,1.2,25,25,10.56686395
145,200,5000,1.2,25,25,11.17926987
145,200,5000,1.2,25,25,10.68117
145,200,5000,1.2,25,25,9.472571
145,250,5000,1.2,20,25,8.709451
145,250,5000,1.2,20,25,9.030936
155,150,4500,1.2,25,25,7.212792
155,150,4500,1.2,25,25,1.756069
155,150,4500,1.2,25,25,8.576107
155,150,4500,1.2,25,25,6.506805
160,150,4500,1.2,25,25,15.48611
160,150,4500,1.2,25,25,10.06135
160,150,4500,1.2,25,25,9.400383
160,150,4500,1.2,25,25,13.51619
130,125,4000,1,20,25,0.594277
130,125,4000,1,20,25,12.83879
130,125,4000,1,20,25,10.93358
130,125,4000,1,20,25,12.69338
130,175,3000,0.8,16,50,13.13253
130,175,3000,0.8,16,50,13.55305
130,175,3000,0.8,16,50,5.375499
130,175,3000,0.8,16,50,12.81113
135,100,3500,1,16,50,13.3834
135,100,3500,1,16,50,12.49629
135,100,3500,1,16,50,10.5238
135,100,3500,1,16,50,10.433
135,125,2500,1,20,50,11.27301
135,125,2500,1,20,50,13.44607
135,125,2500,1,20,50,8.65408
135,125,2500,1,20,50,13.03175
135,125,3500,1,20,50,13.69722
135,125,3500,1,20,50,15.07648
135,125,3500,1,20,50,13.54235
135,125,3500,1,20,50,12.04928
135,175,3500,1.2,20,50,11.46854
135,175,3500,1.2,20,50,15.18381
135,175,3500,1.2,20,50,16.15326
135,175,3500,1.2,20,50,14.81198
135,175,4000,1,16,75,14.63949
135,175,4000,1,16,75,16.32337
135,175,4000,1,16,75,13.05037
135,175,4000,1,16,75,14.60859
140,150,3500,1.2,20,50,14.8562
140,150,3500,1.2,20,50,0.000689
140,150,3500,1.2,20,50,12.20773
140,150,3500,1.2,20,50,17.12623
140,175,4000,1,20,50,14.34815
140,175,4000,1,20,50,15.56114
140,175,4000,1,20,50,14.62652
140,175,4000,1,20,50,14.87702
140,175,4500,1,20,50,11.32679
140,175,4500,1,20,50,15.64876
140,175,4500,1,20,50,15.93429
140,175,4500,1,20,50,15.08953
140,200,2500,1,20,25,3.787368
140,200,2500,1,20,25,5.365302
140,200,2500,1,20,25,2.958441
140,200,2500,1,20,25,8.153602
140,200,4000,0.8,20,50,14.47987
140,200,4000,0.8,20,50,13.21023
140,200,4000,0.8,20,50,11.68721
140,200,4000,0.8,20,50,15.948
145,125,3000,1.2,16,50,12.38608
145,125,3000,1.2,16,50,17.41926
145,125,3000,1.2,16,50,8.215078
145,125,3000,1.2,16,50,14.51087
145,150,3500,0.8,16,50,13.17036
145,150,3500,0.8,16,50,15.47857
145,150,3500,0.8,16,50,10.37283
145,150,3500,0.8,16,50,15.26994
145,150,4000,1,20,75,12.99116
145,150,4000,1,20,75,9.953294
145,150,4000,1,20,75,11.64417
145,150,4000,1,20,75,9.925393
145,175,3000,1,16,25,16.72647
145,175,3000,1,16,25,14.28397
145,175,4000,0.8,20,75,13.51042
145,175,4000,0.8,20,75,13.60324
145,175,4000,0.8,20,75,14.0753
145,175,4000,0.8,20,75,16.48537
150,150,3000,1,20,50,6.317931
150,150,3000,1,20,50,7.751958
150,150,3000,1,20,50,4.050507
150,150,3000,1,20,50,0.657459
150,175,3500,1,16,50,15.65478
150,175,3500,1,16,50,15.54172
150,175,3500,1,16,50,15.67217
150,175,3500,1,16,50,17.66361
155,150,3000,1.2,20,50,10.97949
155,150,3000,1.2,20,50,1.600461
155,150,3000,1.2,20,50,9.662367
155,150,3000,1.2,20,50,4.294832
144,166,3270,1.15,19,44,14.978
144,166,3270,1.15,19,44,13.541
144,166,3270,1.15,19,44,13.932
145,130,3090,1.1,17,29,12.004
145,130,3090,1.1,17,29,17.414
145,130,3090,1.1,17,29,14.239
145,130,3090,1.1,17,29,16.037
150,141,3300,1.1,20,50,11.155
